Feature,Coefficient,Absolute
categorical__id_33_1624x1080,-121.33073825537396,121.33073825537396
categorical__id_33_855x480,-118.60662913287939,118.60662913287939
categorical__id_33_2736x1824,-118.4025648288861,118.4025648288861
categorical__id_30_Mac OS X 10_11_3,117.74226664059078,117.74226664059078
categorical__id_33_1024x640,-115.99468896375524,115.99468896375524
categorical__id_33_2400x1600,-115.29420926253488,115.29420926253488
categorical__DeviceInfo_SM-G360T1 Build/LMY47X,114.77207877535105,114.77207877535105
categorical__DeviceInfo_SAMSUNG SM-G550T1 Build/MMB29K,114.64873316045023,114.64873316045023
categorical__DeviceInfo_LG-M153 Build/MXB48T,114.41488056068397,114.41488056068397
categorical__DeviceInfo_SAMSUNG SM-J701M Build/NRD90M,114.0367173703942,114.0367173703942
categorical__id_31_mobile,-113.01922885093066,113.01922885093066
categorical__id_30_Mac OS X 10_12_2,111.72692552841681,111.72692552841681
categorical__id_33_2304x1296,-110.74738636067363,110.74738636067363
categorical__id_30_Mac OS X 10_11_6,110.239751173098,110.239751173098
categorical__id_30_Mac OS X 10_11_4,110.12967959187299,110.12967959187299
categorical__id_33_2160x1440,-109.80007426905532,109.80007426905532
categorical__id_33_2961x1442,-109.06666012137602,109.06666012137602
categorical__id_33_2960x1440,-108.36462877794418,108.36462877794418
categorical__id_33_1152x864,-107.5569754577305,107.5569754577305
categorical__id_30_Mac OS X 10_12_5,107.32500278716928,107.32500278716928
categorical__DeviceInfo_SM-G386T,107.07653004319036,107.07653004319036
numeric__V132,107.0388643603859,107.0388643603859
categorical__id_33_1800x1125,-106.59781750988618,106.59781750988618
categorical__DeviceInfo_Ilium L1120 Build/NRD90M,106.48473701087426,106.48473701087426
categorical__DeviceInfo_SM-S920L,106.19968144834161,106.19968144834161
categorical__P_emaildomain_me.com,106.06020453376188,106.06020453376188
categorical__id_33_5120x2880,-106.0028779566306,106.0028779566306
categorical__card6_credit,105.85497335699903,105.85497335699903
categorical__DeviceInfo_HUAWEI VNS-L53 Build/HUAWEIVNS-L53,105.08104795503368,105.08104795503368
categorical__id_33_2560x1080,-103.8386493655151,103.8386493655151
