Feature,Importance
numeric__V153,0.0009968907577513405
numeric__V57,0.0009889609108281355
numeric__V184,0.0009774144858239592
numeric__V109,0.000973677049868846
numeric__V208,0.000963909270342667
numeric__id_26,0.0009557250216752312
numeric__V239,0.0009327546162208
numeric__V177,0.0009279205962993978
numeric__id_18,0.0009157626866777236
numeric__V338,0.0009155393295069355
categorical__DeviceInfo_Moto G (5) Plus Build/NPNS25.137-15-11,0.0009148800914402871
categorical__P_emaildomain_frontiernet.net,0.0009123515328821541
numeric__V31,0.0009094126586177
numeric__V21,0.0009093614191203979
numeric__V33,0.0009048470802708949
numeric__id_24,0.0008995139386881198
numeric__V145,0.0008921104723957139
numeric__V64,0.0008834143819887319
numeric__V333,0.0008799115682448376
categorical__R_emaildomain_gmail.com,0.0008586306028327843
numeric__V18,0.0008575256427205325
numeric__V182,0.0008534641740049063
numeric__V151,0.0008483813719902201
numeric__V99,0.0008443684888258757
categorical__id_29_NotFound,0.0008419012854004067
categorical__id_15_Unknown,0.0008393982862739465
numeric__V70,0.0008348410419931747
categorical__id_16_NotFound,0.000834837895000236
numeric__V214,0.000833604749948463
numeric__V92,0.0008261660919278091
categorical__id_31_chrome 63.0,0.0008256888395369435
numeric__V169,0.0008083997800365586
numeric__V42,0.000791585917153439
numeric__V82,0.0007886862592527417
numeric__V205,0.0007744488452098871
numeric__V85,0.0007724860442595893
numeric__V172,0.0007699016663528845
categorical__DeviceInfo_Y635-L03 Build/HuaweiY635-L03,0.0007690038042437339
numeric__V227,0.0007655431846583993
numeric__V143,0.000763479303657813
numeric__V136,0.0007553558973876258
numeric__D13,0.0007552339910417333
numeric__id_10,0.000750658006573206
numeric__D7,0.0007422036421024193
numeric__V179,0.0007416168038853106
numeric__V174,0.0007413443949727543
numeric__V100,0.0007385269372813674
numeric__V105,0.0007377049734735099
numeric__V166,0.0007331736510309916
numeric__V329,0.0007228214918209335
numeric__V135,0.0007225969202082995
numeric__id_03,0.0007176067969952322
categorical__R_emaildomain_outlook.com,0.0007151092917885625
numeric__V236,0.0007122213342392525
numeric__V237,0.0007107712175970557
numeric__V150,0.0007054443555189817
numeric__V144,0.0007044220694119832
numeric__V206,0.000702150445920215
numeric__V332,0.0006978229107975315
numeric__V176,0.0006917718452093501
numeric__V69,0.0006883896251119203
numeric__V62,0.0006784165664828475
numeric__V34,0.0006691526509420556
numeric__V234,0.0006468575686641137
numeric__V93,0.0006465820554851639
numeric__V140,0.0006454042477553043
numeric__V152,0.0006395417860744911
numeric__V147,0.0006148086427730042
numeric__V183,0.0006042663603899723
numeric__V22,0.0006032338737034356
categorical__id_31_chrome 56.0 for android,0.0006026434250431377
numeric__V90,0.0005981937029985745
numeric__D11,0.0005980616060182762
numeric__V115,0.0005933436927052886
numeric__V220,0.0005778857642552103
numeric__V301,0.0005778639468963656
numeric__V181,0.0005593985505055097
numeric__V160,0.0005584268895102862
numeric__V46,0.0005582381988192914
numeric__V7,0.0005582062666977253
numeric__V29,0.0005562695046337829
categorical__DeviceInfo_KFFOWI Build/LVY48F,0.0005548223154802142
categorical__ProductCD_S,0.0005536000932632202
numeric__V321,0.000553292293639599
categorical__P_emaildomain_anonymous.com,0.0005530762531161581
categorical__id_33_801x480,0.0005384378098530425
numeric__V260,0.0005335662794466491
numeric__V114,0.0005326474337384904
numeric__V319,0.000531168365089258
